bsoppitt0@about.me,math
wferrero1@dagondesign.com,history
jchipping2@myspace.com,history
sthicking3@tamu.edu,computer science
ahynson4@cisco.com,math
pcornelleau5@geocities.jp,spanish language
apattingson6@opera.com,french language
jmegainey7@google.it,biology & geology
mbaumaier8@sciencedaily.com,math
edicarlo9@phoca.cz,physichs & chemistry
elaurenza@mapquest.com,technology 
hgiacobellib@nba.com,technology 
sdavidovicic@home.pl,english language
cmartinsond@delicious.com,english language
gcoronae@shareasale.com,french language
jassinderf@wikipedia.org,german language
clogesdaleg@ihg.com,physical education
ahaxleyh@constantcontact.com,math
gmeroni@sfgate.com,biology & geology
ghelmj@posterous.com,physichs & chemistry
bgirthk@intel.com,english language
aousbiel@whitehouse.gov,history
dfosdikem@utexas.edu,music
pscotfurthn@cargocollective.com,spanish language
cariso@reference.com,math
gboscherp@de.vu,visual education
pwonfarq@wordpress.org,computer science
dreadettr@telegraph.co.uk,physichs & chemistry
cpicotts@smh.com.au,physical education
lborrillt@barnesandnoble.com,history
