Munmro,Chue,27-6018250,1016.84
Tara,Penner,99-9396168,1223.10
Winny,Strettell,00-5203995,1135.58
Liva,Renahan,77-9430516,1231.53
Ashleigh,Fabri,25-8904177,1241.16
Garland,Seabon,97-2831213,1112.83
Gladys,Walford,18-9122320,1265.14
Alphonso,Mackrill,69-8800890,1176.63
Cassandre,Baddow,18-5879725,1022.64
Padraic,Ruggier,98-6709830,1117.62
Noland,Wootton,82-8231789,1164.09
Ardene,Kitteridge,89-6083968,1185.85
Alejandrina,Jendrassik,58-1782413,1162.72
Benjie,Rottcher,18-8459846,1260.02
Carine,Sclater,95-8603906,1212.41
Gallard,Tomlett,47-0273629,1246.36
Sherlocke,McCarrison,32-2132304,1267.28
Moyra,Izkovitch,18-0622032,1162.00
Eydie,Palin,18-5273821,1007.98
Wayne,Tchir,44-3648961,1294.66
Allyson,Peppett,02-2647062,1255.65
Sharron,Sirette,71-1202562,1135.13
Demetre,Ellesmere,83-8470119,1295.60
Norah,MacAughtrie,15-3701747,1050.78
Lilian,Clemendot,33-9793144,1082.56
Ronica,Jurkiewicz,22-0747758,1237.28
Kath,Whisker,56-6848928,1223.50
Anthia,Dace,22-5460727,1151.91
Avrom,Vertey,45-0621200,1083.97
Hillery,Goseling,70-6838823,1280.91
Ulrick,McCourt,56-0963207,1278.74
Brandtr,Gwin,41-3838786,1053.29
Bibi,McGeagh,85-9522535,1138.49
Leigh,Chavrin,50-2976675,1063.97
Nadeen,Rosenthaler,08-9557481,1000.46
Marena,Canizares,91-8114903,1285.76
Nananne,Ream,92-5146327,1182.90
Theodora,Kilgrove,91-3219056,1276.59
Ade,Eckh,70-3276422,1218.39
Luz,Brophy,12-5794426,117334
Micheline,Byles,45-3302226,1236.25
Kalila,Eveleigh,91-4919704,1105.69
Milton,Gloy,04-4442225,1129.90
Florri,Whithorn,94-7469505,1189.41
Pearla,Elverston,75-2614055,1141.66
Maison,Humber,73-9324823,1234.01
Blanch,Galero,25-3237783,1174.44
Janis,Nunnerley,37-0102587,1290.58
Leone,Ollington,33-3296676,1211.63
Dene,Tedman,48-3161285,1037.93
Viola,Larder,64-8135737,1050.96
Joni,Dressell,43-5525804,1264.14
Jermayne,Bayle,18-3793907,1242.08
Sigismondo,Skirven,05-6442991,1269.47
Sharyl,Melly,60-6986175,1021.30
Deb,Kassel,29-5957337,1037.33
Johann,Manvell,45-7436313,1240.69
Colette,Penbarthy,68-5950565,1099.45
Antonius,Oslar,03-9128239,1030.62
Deb,Leal,60-4349529,1239.26
Glenn,Yellowlees,06-3791341,1217.75
Elysha,Spickett,81-7375785,1035.28
Ethelind,Aiers,42-6198213,1200.37
Miranda,Gaiger,97-8112447,1101.60
Janeen,Falcus,04-1542648,1241.87
Leonhard,Rulf,32-8869315,1165.21
Doug,Westmancoat,92-5800314,1155.88
Sindee,Fassbindler,06-2341944,1137.33
Celene,Dekeyser,75-3864909,1174.94
Dulcine,Kuhlen,90-6784042,1231.94
Hussein,Plaskitt,36-9673878,1275.42
Anson,Crush,27-3048001,1066.68
Roz,Breen,59-2715038,1279.52
Ringo,Hourihane,21-6555777,1242.39
Alard,Gligorijevic,80-6183421,1039.93
Lemar,Fulkes,65-9112512,1078.86
Moselle,Ricketts,89-3902959,1267.19
Hana,Myderscough,76-1118197,1081.31
Townsend,Kerner,48-3351484,1034.26
Morse,Dorkins,02-0266608,1232.43
Tammy,Sawnwy,57-4125163,1172.52
Violante,Vaudrey,70-7893167,1258.36
Karisa,Farris,57-0424367,1299.84
Jarrett,Acres,83-8352991,1275.03
Bertine,Canaan,11-1100410,1134.18
Avrom,Darton,49-0080261,1233.21
El,Pamplin,24-7888240,1167.23
Sibyl,Neillans,66-3838985,1237.86
Nico,Ivanichev,16-6618516,1088.63
Stearne,Havers,14-2693845,1154.76
Ginnie,Derx,97-0195429,1069.20
Gasparo,Eldritt,21-7418893,1147.28
Jamie,Vile,30-9213029,1020.79
Erny,Gianuzzi,28-1162857,1287.43
Torry,Collin,33-2228561,1168.59
Ethelyn,Connochie,79-1228579,1050.25
Koral,Tomaskov,96-9637686,1060.4
Coralyn,Sandon,54-0828496,1255.59
Winifield,Josefsohn,91-4028990,1262.20
Hyman,Alp,35-5308262,1292.13
